,Open_target_Gene
248,GGT7
249,TEK
250,FHL5
251,RRP1B
252,IRS1
253,TBX20
254,CENPO
255,RAC1
256,EIF2B2
257,NME7
258,NEDD9
259,THADA
260,FAM189A2
261,HNRNPM
262,TCF7L2
263,AKAP13
264,C5
265,PAX5
266,VAT1
267,NPC1
268,ACTRT2
269,DYNC2LI1
270,ITPKA
271,C5orf67
272,PRDM6
273,STOML1
274,NR2C1
275,ARL4C
276,FAM240A
277,LIPG
278,COG5
279,CTAGE1
280,DOK3
281,ABCC10
282,IGF2BP1
283,TENT4A
284,TSPAN9
285,HIVEP2
286,RRBP1
287,C1GALT1
288,INHBC
289,SETD9
290,SAYSD1
291,PREX1
292,MIR4788
293,CDKN2B-AS1
294,GIGYF2
295,PKN2
296,SMAD9
297,ZBTB46
298,PPHLN1
299,ABCA8
300,VWDE
301,DOCK5
302,CNPY4
303,SMAD2
304,IL1F10
305,GUK1
306,CARS2
307,CEP120
308,SPATA2
309,NRP1
310,PKD2L1
311,AHDC1
312,LOXL1
313,TTC39B
314,PKD1L3
315,AC058822.1
316,ETV1
317,BDNF
318,TUB
319,PRKG1
320,GUCY1A2
321,APOH
322,ZNF787
323,LYRM2
324,TBXAS1
325,FBXL20
326,USP43
327,EHBP1
328,WDR33
329,EXOC6
330,NFIB
331,EFCAB13
332,ARHGEF12
333,XKR4
334,JAKMIP1
335,HSF2BP
336,C4orf50
337,FNDC1
338,AKAP12
339,PPFIA1
340,IGF2BP2
341,GDPD5
342,KCNB2
343,DENND5A
344,DPYD
345,MALRD1
346,SLC27A6
347,GALNT13
348,RSBN1
349,PGPEP1
350,COL4A4
351,SLC25A21
352,CARMIL1
353,TRPC4AP
354,NREP
355,ALCAM
356,MPDZ
357,MAP4
358,MERTK
359,MPHOSPH10
360,PRKD2
361,IFT140
362,CSNK1G2
363,TMEM204
364,GRK3
365,RAPGEF2
366,BTBD11
367,ARID1B
368,INO80
369,ZFP36L2
370,TULP1
371,EFNA5
372,TET2
373,WDR11
374,MMP13
375,CEP63
376,MAP3K4
377,SUMO4
378,FOXL1
379,ACTR2
380,ANKRD50
381,PPP2R2A
382,GEM
383,PKHD1
384,MTRNR2L7
385,FDX1
386,KLF14
387,HNRNPA3
388,CD3D
389,ZBTB20
390,MDFIC2
391,CKB
392,ZC3H12A
393,WNT9B
394,PLCE1
395,SOX11
396,SLC46A3
397,AC119674.2
398,UBE2W
399,SPNS3
400,ANP32B
401,MCTP2
402,TOPAZ1
403,MACC1
404,JMJD1C
405,KHDRBS2
406,HMGCR
407,CXCR4
408,PSAP
409,MANEA
410,ADAMTS9
411,BCL11A
412,LIN9
413,PIK3CG
414,CLTCL1
415,ERG
416,OTUD7B
417,ROPN1L
418,ADGRL2
419,TRIM64C
420,LDLRAD2
421,NCAM2
422,RNF39
423,CDK5RAP1
424,PHLPP1
425,RAB37
426,AXDND1
427,CIITA
428,RAD50
429,SPATA7
430,IKZF1
431,ATP10D
432,OSBPL1A
433,DNAH11
434,PBX1
435,CNTN4
436,WTAP
437,ASB18
438,ZNF746
439,CTLA4
440,PALB2
441,PICALM
442,TMEM38B
443,GABRR1
444,IRF6
445,NRXN3
446,IL23R
447,PTPRD
448,PTPRG
449,CAMK2B
450,GCK
451,PHF19
452,DIRAS2
453,GRIN2B
454,CXCL12
455,SP140
456,IL5
457,HLA-DQB1
458,STIM2
459,MEIS1
460,FOXO3
461,PCSK5
462,CUBN
463,GABRB3
464,MYH9
465,RAD21L1
466,HDAC11
467,RPS6KA4
468,FAT4
469,IL2RA
470,ADK
471,NOTCH4
472,MTHFR
473,CENPF
474,POLR3G
475,UNC13A
476,THRB
477,TRHDE
478,KCNQ1
479,RGS6
480,ZFP36L1
481,ZFP90
482,ZNF157
483,CTNND2
484,ARHGAP24
485,WDR64
486,GHR
487,ILKAP
488,IL12B
489,DEPDC5
490,SDK1
491,PAFAH1B2
492,TRAF1
493,CD86
494,SLC28A1
495,MMRN1
496,PRNP
497,LRP1B
498,MOB3B
499,FAM174B
500,KITLG
501,GRAMD1B
502,DGKH
503,SREBF1
504,COL5A1
505,WWOX
506,GNA12
507,BMP6
508,MST1
509,DACH1
510,ESR1
511,CCT7P2
512,TSHZ3
513,ARG1
514,MEX3B
515,RTF1
516,RNF219-AS1
517,CADPS2
518,ITPR2
519,CCDC63
520,PLEK
521,CASC15
522,CRACR2A
523,EPC2
524,ADAMTS12
525,DPP6
526,CCDC170
527,TBX3
528,BIN1
529,SLC14A2
530,REV3L
531,FAM162B
532,SLC17A3
533,MACROD2
534,DAP
535,KCNH2
536,ADAMTSL3
537,SIK3
538,LRP2
539,ZIC1
540,HIKESHI
541,SLC26A9
542,TSBP1
543,MPP2
544,ANKFN1
545,CR1L
546,ITLN1
547,SLC25A43
548,ISG20
549,FUBP3
550,PLA2G12A
551,TF
552,BUD13
553,ITGAM
554,SCN7A
555,TRIM4
556,TUSC1
557,STAT2
558,PPP2R5E
559,CYP1A1
560,NCAPD3
561,HS3ST3A1
562,FGFR1OP
563,SGSM2
564,PRKCZ
565,PRKAR2B
566,PDZRN4
567,FAM126A
568,DIS3L2
569,BATF
570,SUSD1
571,HLA-DRB1
572,CCR6
573,FASTKD2
574,NUMB
575,KNG1
576,PSCA
577,USP46
578,BLK
579,LIN28B
580,NFKBIZ
581,ZBTB40
582,CDC42EP3
583,SKIV2L
584,CMKLR1
585,AP3S2
586,LRRC18
587,ARL14
588,IL12A
589,RORA
590,DSC3
591,PLEKHA1
592,HERPUD1
593,SLC9A9
594,MLANA
595,HLA-DQA2
596,B3GNT2
597,HFE
598,SRR
599,LPP
600,CAAP1
601,ADGRG6
602,SCGN
603,CHRNB4
604,CDKAL1
605,RASA1
606,NAV2
607,DISC1
608,MMP24
609,RAB3GAP1
610,PALM2-AKAP2
611,SLCO3A1
612,ARL6
613,SLTM
614,MICAL3
615,LRRC58
616,RFTN1
617,IL13
618,PRDX5
619,RIPK2
620,VRK2
621,EGR2
622,GPR35
623,NRSN1
624,PRIM1
625,SPATA13
626,SLC17A4
627,KLKB1
628,ATP8B1
629,MINPP1
630,CSMD1
631,ADGRL1
632,HIP1
633,CDH9
634,CD226
635,MYRIP
636,SLC1A7
637,BICDL1
638,PCSK2
639,C2CD4B
640,MS4A4A
641,SALL1
642,PRDM15
643,TNNT3
644,SOCS6
645,FAM155A
646,LYPLAL1
647,ARL5B
648,ZNF492
649,ITGA6
650,RYR2
651,MAP2K5
652,RNF43
653,CD276
654,TNFRSF11B
655,FGFR2
656,TMEM258
657,SLC44A5
658,LRRN4
659,ITGAX
660,SIN3A
661,IGF2
662,ZNF341
663,UTS2B
